=== MATCH SCHEDULE FOR SATURDAY ===
08:30 AM - 09:00 AM | CMD4   | Court 10
08:30 AM - 09:00 AM | CMD8   | Court 11
08:30 AM - 09:00 AM | CMD12  | Court 12
08:30 AM - 09:00 AM | CMD14  | Court 3
08:30 AM - 09:00 AM | CMD16  | Court 6
08:30 AM - 09:00 AM | CMD17  | Court 7
08:30 AM - 09:00 AM | CMD19  | Court 8
08:30 AM - 09:00 AM | CMD21  | Court 9
08:30 AM - 09:00 AM | CMD25  | Court 1
08:30 AM - 09:00 AM | CMD27  | Court 2
08:30 AM - 09:00 AM | CMD29  | Court 4
08:30 AM - 09:00 AM | DMD4   | Court 5
09:00 AM - 09:30 AM | DMD8   | Court 10
09:00 AM - 09:30 AM | DMD12  | Court 11
09:00 AM - 09:30 AM | DMD14  | Court 12
09:00 AM - 09:30 AM | DMD16  | Court 3
09:00 AM - 09:30 AM | DMD17  | Court 6
09:00 AM - 09:30 AM | DMD19  | Court 7
09:00 AM - 09:30 AM | DMD21  | Court 8
09:00 AM - 09:30 AM | DMD25  | Court 9
09:00 AM - 09:30 AM | DMD27  | Court 1
09:00 AM - 09:30 AM | DMD29  | Court 2
09:00 AM - 09:30 AM | DMS4   | Court 4
09:00 AM - 09:30 AM | DMS8   | Court 5
09:30 AM - 10:00 AM | DMS12  | Court 10
09:30 AM - 10:00 AM | DMS16  | Court 11
09:30 AM - 10:00 AM | DMS17  | Court 12
09:30 AM - 10:00 AM | DMS21  | Court 3
09:30 AM - 10:00 AM | DMS25  | Court 6
09:30 AM - 10:00 AM | DMS29  | Court 7
09:30 AM - 10:00 AM | CMD33  | Court 8
09:30 AM - 10:00 AM | CMD34  | Court 9
09:30 AM - 10:00 AM | CMD35  | Court 1
09:30 AM - 10:00 AM | CMD36  | Court 2
09:30 AM - 10:00 AM | CMD37  | Court 4
09:30 AM - 10:00 AM | CMD38  | Court 5
10:00 AM - 10:30 AM | CMD39  | Court 10
10:00 AM - 10:30 AM | CMD40  | Court 11
10:00 AM - 10:30 AM | CMD41  | Court 12
10:00 AM - 10:30 AM | CMD42  | Court 3
10:00 AM - 10:30 AM | CMD43  | Court 6
10:00 AM - 10:30 AM | CMD44  | Court 7
10:00 AM - 10:30 AM | CMD45  | Court 8
10:00 AM - 10:30 AM | CMD46  | Court 9
10:00 AM - 10:30 AM | CMD47  | Court 1
10:00 AM - 10:30 AM | CMD48  | Court 2
10:00 AM - 10:30 AM | DMD33  | Court 4
10:00 AM - 10:30 AM | DMD34  | Court 5
10:30 AM - 11:00 AM | DMD35  | Court 10
10:30 AM - 11:00 AM | DMD36  | Court 11
